gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CSAG1	10.967314408363718	2.3062013978686497	56.393013790844925	4.972343813306023e-16	8.357018247023433e-12	20.752418619518266
MAGEA3	11.962929835989723	4.109693411647135	42.18512194706775	1.6425720778067e-14	1.3803354455848603e-10	22.01727873630428
NEFL	9.932222233663246	3.6139434071295797	38.797979344568496	4.493652937692304e-14	2.5174941641264847e-10	20.834265031955454
PITX2	8.304435696153842	0.3085590771584722	31.827189485700572	4.835626530762401e-13	2.031809377563092e-09	16.103480609667383
CSAG3	9.952856279529524	1.543712143695357	27.050861477744974	3.3754445138965226e-12	9.857482589203363e-09	16.183683240446378
MAGEA12	11.627704525557725	3.568400015231273	26.956490461993802	3.519063219802474e-12	9.857482589203363e-09	17.733636507259153
PRAME	10.80454052992958	5.84054697731504	25.42206239649519	7.072941794910954e-12	1.3394792445665442e-08	17.715931428193127
MAGEA6	11.993853817145192	4.007592937550992	25.39213088192419	7.172793003569286e-12	1.3394792445665442e-08	17.387176378462673
MAGEA2B	9.159509594490627	1.4785715408442408	20.507324839755206	9.019485449964804e-11	8.917087762209321e-08	14.039845038231565
MAGEA2	10.650725662315846	3.0058565445039114	18.692342265655565	2.682487503970707e-10	2.2113680750434135e-07	13.870106641194791
MCIDAS	7.256030811826877	0.5830717216606522	17.75350399407877	4.904722223976347e-10	2.9440595149418023e-07	12.436923790684784
HLA-DRA	11.986016926590494	3.075277251496912	17.546434256086588	5.625429601511458e-10	3.26022742457252e-07	13.241655662207561
PREX1	5.416040169294438	5.227672396823675	17.384795619596822	6.267429898923054e-10	3.5112231437066587e-07	13.371477205932424
OTX1	7.860708817217734	-0.01278665746576931	17.277542977585302	6.736833533881327e-10	3.652450361417531e-07	11.935492941354452
ZIC2	8.325419018107674	0.8502005255775061	17.158195937426232	7.304192863977655e-10	3.836299045777264e-07	12.252278428089067
PAX9	7.9099015956573595	1.0828284384960163	16.428386142317745	1.2115943413244922e-09	5.818076027040211e-07	11.947093351961893
HOXC13	8.346177041307673	1.1129543293675512	16.111578378604438	1.519073331693844e-09	6.682710457722575e-07	11.779446222082342
GABRA3	8.213967774632678	0.7624332314425155	16.102616549856872	1.5289135730204651e-09	6.682710457722575e-07	11.661492463458023
ACTN4	1.8260135671429314	9.53972000919203	15.901773804862048	1.768503049433897e-09	7.249568476057441e-07	12.330005719113244
ZIC4	6.052280628010693	-1.3797265376761707	15.775285331650739	1.939988348028878e-09	7.499714235239424e-07	10.445017950548776
WT1	9.122079682450483	0.915754250294263	15.467988425905379	2.4360515714528293e-09	8.711216757746319e-07	11.346028183145803
ANKRD18B	4.722697187426711	1.214079727016815	15.390989610955225	2.5807442285379375e-09	9.036368385216065e-07	11.385475699064415
CSAG2	6.693169290642739	-0.8994285363106317	15.198818426805227	2.9839121138230373e-09	1.0030122179404756e-06	10.441927275192533
CSAG4	6.394834676866826	-1.1149565864821198	14.856666520083621	3.880067443072676e-09	1.2786724218769111e-06	10.148075363466976
KRT18	10.14379245980162	3.224509957301079	14.58197205710091	4.809916981419093e-09	1.5252882020134092e-06	11.295620095989717
SFRP1	7.445379217889172	6.2697888566645545	14.52273751387894	5.040384131145278e-09	1.552270086880287e-06	11.255014873253746
CTSC	2.1279347527740793	7.542425208435625	14.478519129506596	5.220181891027084e-09	1.5543158861989334e-06	11.22076965816061
SATB2	2.993415092676117	4.848603687686547	14.183540437093217	6.61168329797981e-09	1.9159062273990804e-06	11.010160620978166
MANEAL	5.11885032683466	4.142125099491345	14.159712438058072	6.740394734040454e-09	1.920098547373185e-06	11.013077678805193
NCEH1	2.796991003119723	5.160093126901832	13.968200599135047	7.878522481513571e-09	2.1402293309189767e-06	10.820056411947466
NKX2-4	6.5816402177191815	-0.974531827163477	13.95475218590359	7.965886406947618e-09	2.1402293309189767e-06	9.720333885658839
EGF	6.539367012807094	1.8109569003263524	13.896167179627673	8.358837347636135e-09	2.1447600360853865e-06	10.537878797967139
BMS1P22	5.941648907146023	-1.4555317600109574	13.89275231246444	8.382377661729389e-09	2.1447600360853865e-06	9.448710171604048
AL589743.1	9.627659220081377	2.604557981132674	13.886979699432171	8.422333693201374e-09	2.1447600360853865e-06	10.680548388626525
ARHGAP27	2.9884763511330608	2.7743333452414825	13.706555700076342	9.780688455549448e-09	2.4174122187120523e-06	10.567278382975452
MAGI1	3.1766136835830974	4.567021791440087	13.594173800818563	1.0744889385636911e-08	2.5798479414914223e-06	10.52979063102124
IGF2BP1	6.860136760501625	3.21765843526505	13.563306530821436	1.1027309353980843e-08	2.6058111631720557e-06	10.502750033085448
NBEAP3	6.931716799965473	-0.7301597913907755	13.536696489725966	1.1277202444162191e-08	2.6058111631720557e-06	9.576551873864084
DUXAP9	5.574413132126952	3.8473571833214755	13.515297015585956	1.1482590622333775e-08	2.6058111631720557e-06	10.486475838206058
TWISTNB	1.9158992121028504	5.794329115150397	13.51461601363291	1.1489192578654232e-08	2.6058111631720557e-06	10.415196655437374
LINC01296	6.4378151031344695	4.505537674166353	13.500370172987015	1.1628240449687878e-08	2.6058111631720557e-06	10.452773994845673
EPHB1	4.835112892889247	2.885014867918033	13.424979304657827	1.2394932289969736e-08	2.681364890667107e-06	10.358547280940503
WNT10B	7.328938783969885	0.6383860172707748	13.33028822536272	1.3435964210084727e-08	2.787879635541901e-06	9.882873421683419
RP11-496I2.5	6.083739407592344	-1.3610501373451263	13.265632672689753	1.420071347604992e-08	2.875558932433386e-06	9.129066533709285
EXOSC4	1.3806990962882724	5.455747286691694	13.155862739088318	1.5608601607879613e-08	3.1230210383765793e-06	10.109154467711438
SYNGR2	2.1473105835770405	4.987704871652721	13.075162814161315	1.6739334656147613e-08	3.2135473566631155e-06	10.057288522964242
HDAC9	4.558452825899227	3.804769118592666	12.91109774423479	1.9319687382489007e-08	3.6078442870832526e-06	9.969991397393569
NRN1	6.06402150254124	2.859403017967857	12.883880347236811	1.9787725628357886e-08	3.654640710283637e-06	9.911723182773928
ELOVL7	5.108471268669253	1.6033956311551558	12.865297597285753	2.011428800591213e-08	3.6745743316887522e-06	9.722177021976357
P2RX5	6.983563768846431	-0.1448511235094495	12.824932343577446	2.0843816980826293e-08	3.75272617198471e-06	9.315069984363742
IFI30	2.12894332154753	3.8264755010513998	12.774802989944382	2.1789730269390724e-08	3.8549473330278934e-06	9.849528550004326
